DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
177542,177542,MiniPAT,DS,11,0,3,71,59,11:59:26 01-Feb-2019,SR,3,-2.5116,-87.9262,-2.5116,-87.9262,56,,401677383,-122
177542,177542,MiniPAT,DS,4,0,3,118,59,11:59:13 01-Feb-2019,NP,2,-2.5148,-87.9274,-2.5148,-87.9274,68,,401677383,-132
177542,177542,MiniPAT,DS,6,0,3,59,59,12:39:02 01-Feb-2019,NN,1,-2.5186,-87.9329,-2.5186,-87.9329,58,,401677380,-132
177542,177542,MiniPAT,DS,12,0,2,65,59,13:04:21 01-Feb-2019,NK,3,-2.5150,-87.9364,-2.5150,-87.9364,56,,401677384,-116
177542,177542,MiniPAT,DS,8,0,0,67,59,14:12:26 01-Feb-2019,MA,2,-2.5160,-87.9480,-2.5160,-87.9480,58,,401677384,-121
177542,177542,MiniPAT,DS,11,0,1,77,59,14:12:56 01-Feb-2019,NN,3,-2.5169,-87.9484,-2.5169,-87.9484,56,,401677383,-124
177542,177542,MiniPAT,DS,11,0,1,65,59,14:47:47 01-Feb-2019,MC,3,-2.5169,-87.9545,-2.5169,-87.9545,58,,401677384,-118
177542,177542,MiniPAT,DS,6,0,3,107,59,15:28:17 01-Feb-2019,MB,1,-2.5198,-87.9613,-2.5198,-87.9613,58,,401677383,-127
177542,177542,MiniPAT,DS,9,0,2,75,59,15:52:17 01-Feb-2019,MA,3,-2.5214,-87.9705,-2.5214,-87.9705,56,,401677384,-121
177542,177542,MiniPAT,DS,10,0,2,60,59,16:26:42 01-Feb-2019,MC,3,-2.5245,-87.9770,-2.5245,-87.9770,58,,401677380,-122
177542,177542,MiniPAT,DS,11,0,1,59,59,21:24:46 01-Feb-2019,NP,3,-2.5153,-88.0514,-2.5153,-88.0514,58,,401677381,-128
177542,177542,MiniPAT,DS,8,0,3,85,59,22:52:57 01-Feb-2019,SR,3,-2.5047,-88.0692,-2.5047,-88.0692,58,,401677382,-123
177542,177542,MiniPAT,DS,14,0,2,59,59,22:59:25 01-Feb-2019,NP,3,-2.5060,-88.0699,-2.5060,-88.0699,56,,401677381,-125
177542,177542,MiniPAT,DS,11,0,2,71,59,00:08:33 02-Feb-2019,NK,3,-2.5113,-88.0781,-2.5113,-88.0781,58,,401677383,-121
177542,177542,MiniPAT,DS,12,0,4,60,59,00:31:28 02-Feb-2019,SR,3,-2.5118,-88.0795,-2.5118,-88.0795,56,,401677382,-124
177542,177542,MiniPAT,DS,9,0,1,67,59,01:21:56 02-Feb-2019,NN,3,-2.5179,-88.0856,-2.5179,-88.0856,58,,401677384,-124
177542,177542,MiniPAT,DS,11,0,5,59,59,01:42:50 02-Feb-2019,NK,3,-2.5157,-88.0918,-2.5157,-88.0918,56,,401677382,-125
177542,177542,MiniPAT,DS,3,0,2,119,119,01:50:20 02-Feb-2019,MC,A,-2.5171,-88.0960,-2.5171,-88.0960,6,,401677382,-127
177542,177542,MiniPAT,DS,2,0,2,298,298,02:24:43 02-Feb-2019,MB,B,-2.5170,-88.1009,-2.5170,-88.1009,8,,401677383,-132
177542,177542,MiniPAT,DS,13,0,3,64,59,02:59:05 02-Feb-2019,MA,3,-2.5136,-88.1059,-2.5136,-88.1059,58,,401677383,-118
177542,177542,MiniPAT,DS,11,0,2,77,59,02:59:48 02-Feb-2019,NN,3,-2.5127,-88.1047,-2.5127,-88.1047,56,,401677382,-124
177542,177542,MiniPAT,DS,6,0,1,83,59,03:25:48 02-Feb-2019,MC,2,-2.5121,-88.1063,-2.5121,-88.1063,66,,401677383,-117
177542,177542,MiniPAT,DS,9,0,5,59,59,04:38:14 02-Feb-2019,MA,1,-2.5291,-88.1476,-2.5291,-88.1476,57,,401677400,-127
177542,177542,MiniPAT,DS,8,0,5,120,59,10:01:29 02-Feb-2019,NP,3,-2.5078,-88.1766,-2.5078,-88.1766,58,,401677386,-120
177542,177542,MiniPAT,DS,5,0,2,59,59,11:04:55 02-Feb-2019,NK,1,-2.5099,-88.1870,-2.5099,-88.1870,58,,401677385,-131
177542,177542,MiniPAT,DS,14,0,2,59,59,11:35:17 02-Feb-2019,SR,3,-2.5096,-88.1888,-2.5096,-88.1888,58,,401677386,-120
177542,177542,MiniPAT,DS,10,0,2,59,59,11:46:47 02-Feb-2019,NP,3,-2.5079,-88.1921,-2.5079,-88.1921,56,,401677386,-130
177542,177542,MiniPAT,DS,11,0,2,71,59,12:40:05 02-Feb-2019,NK,2,-2.5097,-88.2012,-2.5097,-88.2012,58,,401677385,-121
177542,177542,MiniPAT,DS,9,0,0,59,59,13:05:53 02-Feb-2019,SR,3,-2.5101,-88.2043,-2.5101,-88.2043,56,,401677384,-127
177542,177542,MiniPAT,DS,10,0,1,66,59,13:50:41 02-Feb-2019,MA,3,-2.5134,-88.2087,-2.5134,-88.2087,58,,401677386,-130
177542,177542,MiniPAT,DS,13,0,1,64,59,14:01:40 02-Feb-2019,NN,2,-2.5165,-88.2128,-2.5165,-88.2128,56,,401677384,-123
177542,177542,MiniPAT,DS,9,0,1,74,59,14:27:03 02-Feb-2019,MC,3,-2.5195,-88.2140,-2.5195,-88.2140,56,,401677386,-120
177542,177542,MiniPAT,DS,8,0,3,85,59,15:00:25 02-Feb-2019,MB,3,-2.5247,-88.2206,-2.5247,-88.2206,58,,401677385,-125
177542,177542,MiniPAT,DS,9,0,1,81,59,15:29:21 02-Feb-2019,MA,3,-2.5311,-88.2198,-2.5311,-88.2198,56,,401677385,-125
177542,177542,MiniPAT,DS,5,0,0,75,59,15:44:13 02-Feb-2019,NN,1,-2.5299,-88.2280,-2.5299,-88.2280,56,,401677386,-130
177542,177542,MiniPAT,DS,12,0,0,64,59,16:14:05 02-Feb-2019,MC,3,-2.5376,-88.2284,-2.5376,-88.2284,56,,401677381,-120
177542,177542,MiniPAT,DS,1,0,1,,,16:41:56 02-Feb-2019,MB,B,-2.5407,-88.2303,-2.5407,-88.2303,6,,401677383,-133
177542,177542,MiniPAT,DS,9,0,2,74,59,21:06:50 02-Feb-2019,NP,3,-2.5749,-88.2836,-2.5749,-88.2836,58,,401677377,-130
177542,177542,MiniPAT,DS,7,0,1,59,59,22:22:55 02-Feb-2019,SR,2,-2.5777,-88.2997,-2.5777,-88.2997,58,,401677382,-131
177542,177542,MiniPAT,DS,15,0,1,59,59,22:54:44 02-Feb-2019,NP,3,-2.5895,-88.3091,-2.5895,-88.3091,58,,401677378,-123
177542,177542,MiniPAT,DS,11,0,2,59,59,23:43:56 02-Feb-2019,NK,3,-2.6002,-88.3132,-2.6002,-88.3132,58,,401677379,-129
177542,177542,MiniPAT,DS,14,0,2,59,59,23:59:20 02-Feb-2019,SR,3,-2.6044,-88.3170,-2.6044,-88.3170,56,,401677380,-120
177542,177542,MiniPAT,DS,10,0,1,73,59,01:05:50 03-Feb-2019,NN,3,-2.6168,-88.3266,-2.6168,-88.3266,58,,401677381,-127
177542,177542,MiniPAT,DS,12,0,1,64,59,01:16:16 03-Feb-2019,NK,3,-2.6194,-88.3337,-2.6194,-88.3337,56,,401677380,-121
177542,177542,MiniPAT,DS,14,0,0,59,59,02:37:38 03-Feb-2019,MA,3,-2.6354,-88.3423,-2.6354,-88.3423,58,,401677381,-118
177542,177542,MiniPAT,DS,14,0,1,64,59,02:46:03 03-Feb-2019,NN,3,-2.6387,-88.3466,-2.6387,-88.3466,56,,401677381,-123
177542,177542,MiniPAT,DS,13,0,0,64,59,03:12:56 03-Feb-2019,MC,3,-2.6416,-88.3493,-2.6416,-88.3493,56,,401677380,-116
177542,177542,MiniPAT,DS,7,0,5,89,59,03:37:43 03-Feb-2019,MB,2,-2.6503,-88.3539,-2.6503,-88.3539,56,,401677382,-127
177542,177542,MiniPAT,DS,12,0,2,59,59,04:18:31 03-Feb-2019,MA,3,-2.6565,-88.3630,-2.6565,-88.3630,58,,401677380,-120
177542,177542,MiniPAT,DS,9,0,1,59,59,04:46:52 03-Feb-2019,MC,2,-2.6638,-88.3675,-2.6638,-88.3675,56,,401677381,-124
