DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
177542,177542,0.500000,Transmission,MiniPAT,7,02:00:00 21-Dec-2018,04:00:00 21-Dec-2018,,,,0.0,0.00,16.0,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,8,04:00:00 21-Dec-2018,06:00:00 21-Dec-2018,,,,0.0,0.00,2.0,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,8,06:00:00 21-Dec-2018,08:00:00 21-Dec-2018,,,,0.0,0.00,11.0,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,8,08:00:00 21-Dec-2018,10:00:00 21-Dec-2018,,,,0.0,0.00,44.0,0.25,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,7,10:00:00 21-Dec-2018,12:00:00 21-Dec-2018,,,,0.0,0.00,62.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,6,12:00:00 21-Dec-2018,14:00:00 21-Dec-2018,,,,0.0,0.00,78.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,6,14:00:00 21-Dec-2018,16:00:00 21-Dec-2018,,,,0.0,0.00,70.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,5,16:00:00 21-Dec-2018,18:00:00 21-Dec-2018,,,,0.0,0.00,62.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,9,18:00:00 21-Dec-2018,20:00:00 21-Dec-2018,,,,0.0,0.00,62.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,8,20:00:00 21-Dec-2018,22:00:00 21-Dec-2018,,,,0.0,0.00,82.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,10,22:00:00 21-Dec-2018,00:00:00 22-Dec-2018,,,,0.0,0.00,94.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,7,00:00:00 23-Dec-2018,02:00:00 23-Dec-2018,,,,0.0,0.00,1.5,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,7,02:00:00 23-Dec-2018,04:00:00 23-Dec-2018,,,,0.0,0.00,22.5,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,7,04:00:00 23-Dec-2018,06:00:00 23-Dec-2018,,,,0.0,0.00,4.0,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,6,06:00:00 23-Dec-2018,08:00:00 23-Dec-2018,,,,0.0,0.00,10.5,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,5,08:00:00 23-Dec-2018,10:00:00 23-Dec-2018,,,,0.0,0.00,10.5,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,5,10:00:00 23-Dec-2018,12:00:00 23-Dec-2018,,,,0.0,0.00,58.0,0.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,4,12:00:00 23-Dec-2018,14:00:00 23-Dec-2018,,,,0.0,0.00,164.0,1.75,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,3,14:00:00 23-Dec-2018,16:00:00 23-Dec-2018,,,,0.0,0.00,23.5,0.00,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,5,16:00:00 23-Dec-2018,18:00:00 23-Dec-2018,,,,0.0,0.00,44.0,0.25,,,,,,,
177542,177542,0.500000,Transmission,MiniPAT,5,18:00:00 23-Dec-2018,20:00:00 23-Dec-2018,,,,0.0,0.00,24.0,0.00,,,,,,,
