DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
177542,177542,MiniPAT,12:06:14 09-Feb-2019,Argos,A,-3.7416,-88.2541,1096,2632,456,29,,,,,,
177542,177542,MiniPAT,12:46:01 09-Feb-2019,Argos,3,-3.7464,-88.2538,218,405,117,0,,,,,,
177542,177542,MiniPAT,12:46:39 09-Feb-2019,Argos,3,-3.7522,-88.2551,164,203,132,133,,,,,,
177542,177542,MiniPAT,13:03:36 09-Feb-2019,Argos,3,-3.7555,-88.2547,177,282,111,102,,,,,,
177542,177542,MiniPAT,13:45:19 09-Feb-2019,Argos,A,-3.7653,-88.2562,1489,3888,570,19,,,,,,
177542,177542,MiniPAT,14:16:48 09-Feb-2019,Argos,B,-3.7688,-88.2563,3017,4261,2135,178,,,,,,
177542,177542,MiniPAT,14:25:15 09-Feb-2019,Argos,3,-3.7738,-88.2487,180,573,56,103,,,,,,
177542,177542,MiniPAT,14:45:38 09-Feb-2019,Argos,3,-3.7764,-88.2595,223,802,61,103,,,,,,
177542,177542,MiniPAT,15:20:59 09-Feb-2019,Argos,2,-3.7858,-88.2498,284,1941,41,102,,,,,,
177542,177542,MiniPAT,15:56:18 09-Feb-2019,Argos,3,-3.7929,-88.2519,177,197,157,150,,,,,,
177542,177542,MiniPAT,16:32:02 09-Feb-2019,Argos,2,-3.7966,-88.2520,311,694,139,13,,,,,,
177542,177542,MiniPAT,17:05:47 09-Feb-2019,Argos,B,-3.8036,-88.2514,1082,1108,1055,21,,,,,,
177542,177542,MiniPAT,21:32:41 09-Feb-2019,Argos,3,-3.8533,-88.2316,227,311,164,174,,,,,,
177542,177542,MiniPAT,22:06:36 09-Feb-2019,Argos,A,-3.8602,-88.2300,1267,2245,714,5,,,,,,
177542,177542,MiniPAT,23:06:48 09-Feb-2019,Argos,3,-3.8742,-88.2322,149,196,112,78,,,,,,
