DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
177542,177542,0.500000,MiniPAT,2.04u,23:37:19 06-Feb-2019,23:37:28 06-Feb-2019,9,3,-3.4643,-88.2379,CRC,,,1,16448,3.301,2.622,0.171,27.70,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,02:45:05 07-Feb-2019,02:45:14 07-Feb-2019,9,3,-3.4550,-88.2234,CRC,,,1,16576,3.359,2.622,0.102,27.60,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,04:29:31 07-Feb-2019,04:29:40 07-Feb-2019,9,2,-3.4663,-88.2212,CRC,,,1,16704,3.340,2.622,0.127,27.55,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,10:45:51 07-Feb-2019,10:46:00 07-Feb-2019,9,3,-3.4487,-88.1829,CRC,,,1,17088,3.242,2.622,0.181,27.55,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,13:54:04 07-Feb-2019,13:54:13 07-Feb-2019,9,3,-3.4298,-88.1816,CRC,,,1,17344,3.223,2.622,0.195,27.50,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,14:56:37 07-Feb-2019,14:56:46 07-Feb-2019,9,3,-3.4276,-88.1835,CRC,,,1,17344,3.281,2.622,0.156,27.50,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,15:38:22 07-Feb-2019,15:38:31 07-Feb-2019,9,3,-3.4301,-88.1821,CRC,,,1,17472,3.242,2.622,0.176,27.50,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,21:54:00 07-Feb-2019,21:54:09 07-Feb-2019,9,3,-3.4377,-88.1710,CRC,,,1,17728,3.340,2.622,0.102,27.70,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,02:25:08 08-Feb-2019,02:25:17 08-Feb-2019,9,3,-3.4298,-88.1885,CRC,,,1,18112,3.203,2.622,0.190,27.60,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,03:06:47 08-Feb-2019,03:06:56 08-Feb-2019,9,3,-3.4338,-88.1909,CRC,,,1,18112,3.184,2.622,0.200,27.60,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
